Compay name, email, Telephone, Address
庆福五金机械私人有限公司Kheng Hock Hardware & Machinery P. L.,khhmpl@singnet.com.sg, (65) 6292 5922 ,5 Townshend Road Singapore 207603
庆年五金机械Kheng Lian Hardware & Machinery,khenglian@ymail.com, (65) 6291 0139 / 6291 0340 ,Blk. 803 King George’s Ave #01-160 & 162Singapore 200803 
建盛五金贸易私营有限公司Kian Seng Hardware &Trading Pte. Ltd. ,info@kianseng.com, (65) 6748 7144 ,168 Sims Aveune Singapore 387487
广德隆(私人)有限公司Kwong Tuck Loong (Pte) Ltd.,NaN, (65) 6293 5861 ,Blk. 640 Rowell Road #01-74Singapore 200640 
L & M Metals (S) Pte. Ltd.,laddermenn@singnet.com.sg, (65) 6846 3840 / 6846 3841 ,160 Kallang Way Unit 1506 Storhub KallangSingapore 349246 
隆成工业私人有限公司Leong Seng Industrial Pte. Ltd,NaN, (65) 6483 5830 ,Blk. 5064 Ang Mo Kio Ind. Park 2 #01-1329Singapore 569567 
利保私人有限公司Lepon Co. Pte. Ltd.,lepon@singnet.com.sg, (65) 6748 1833,23 Kakit Bukit View Kakit Bukit Techpark ll Singapore 415959 
联荣五金私人有限公司Lian Eng Hardware Ptd. Ltd.,sales@lianeng.com, (65) 6294 4662,Blk. 803 King George’s Avenue #01-240Singapore 200803
林顺和合记Lim Soon Hoe Hup Kee,NaN, (65) 6469 3604  ,94 Jalan Jurong Kechil Singapore 598538
华輝贸易公司Linmac Trading,linmac@singnet.com.sg, (65) 6282 3739,47 How Sun Road Singapore 538508
立德五金私人有限公司Lipex Hardware Pte. Ltd.,sales@lipex.com.sg, (65) 6561 1402 ,31 Toh Guan Road East #01-02LW Techno Centre Singapore 608608
Mass Technologies Pte. Ltd. - text ,enquiry@masstech.com.sg, (65) 6763 4600 ,7 Bukit Batok Street 22 Singapore 659584 
万宝五金私人有限公司MasterPro Hardware Pte. Ltd. ,enquiry@masterpro.com.sg, (65) 6922 9933 ,29 Ubi Road 4 #04-01 Wangi Ind. Bldg Singapore 408619
Mega Hardware Pte. Ltd. - text ,megahw@singnet.com.sg, (65) 6570 8381 ,11 Serangoon North Avenue 5 #04-03Singapore 554809 
明达五金公司Meng Tat Hardware Co.,mengtat38@yahoo.com, (65) 6292 9484 / 6635 6833 / 6294 3831 ,6 Ubi Road 1 #01-09 Wintech CentreSingapore 408726 
南洋仪器机械私人有限公司Nanyang Instrument & Machinery Pte. Ltd.,sales@nim.com.sg, (65) 6298 7266 ,101 Kitchener Road #01-01 Jalan Besar PlazaSingapore 208511 
Nexus Sealand Trading Pte. Ltd.,peterlee@bkmgroup.com.sg, (65) 6898 2345,38 Tuas View Square Singapore 637770 
义盛五金贸易Ngee Seng Hardware Trading,NaN, (65) 6293 6449,52 Ubi Ave 3 #05-30 FrontierSingapore 408867
胡成殿五金Oh Seng Tian Hardware,NaN, (65) 9753 1253   ,Blk. 261-B Seng Kang East Way #11-406Singapore 542261
东方五金海事有限公司Oriental Hardware & Marine Pte. Ltd.,orientalhw1@myots.com.sg, (65) 6795 9627 / 6316 4807 / 6316 4946,17 Tuas South Street 5 Singapore 637646
汎昇五金有限公司Pan Sun Hardware Pte. Ltd.,enquiry@pansun.com, (65) 6296 3180 ,Blk. 803 King George’s Avenue #01-174Singapore 200803
汎国五金机械(私人)有限公司Pan-Co Hardware & Engrg. Pte. Ltd.,panco@singnet.com.sg, (65) 6848 2288 ,72 Kian Teck Road Singapore 628799 
永久机械五金私人有限公司Perpetual Equipment & Hardware P. L ,hardware@pcpl.com.sg, (65) 6268 4744 (5 Lines) / 6266 0468 ,Blk. 17 Pioneer Road North #01-88Singapore 628465
培发五金(星)私人有限公司Poey Huat Hardware (S) Pte. Ltd.,email@poeyhuat.com, (65) 6294 8898 ,Blk. 31 Kelantan Lane #01-20Singapore 200031 
郭瑞成(新)私人有限公司QSS Safety Products (S) Pte. Ltd.,sales@qss-safety.com, (65) 6745 2966 ,239 Ubi Ave 4 Intrepid Warehouse ComplexSingapore 408821 
罗伯特·博世（东南亚）私人有限公司Robert Bosch (S.E.A) Pte. Ltd.,powertools@sg.bosch.com, (65) 6571 2772 ,11 Bishan Street 21 Singapore 573943 
新立五金行有限公司Roger Hardware Pte. Ltd.,rogerhpl16@gmail.com, (65) 6200 3608,Blk. 29 Kelantan Road #01-105Singapore 200029 
史乐力工具私人有限公司Sellery Tools Pte. Ltd.,sales@sellerytools.com.sg, (65) 6746 9755,41 Kallang Pudding Road #01-02Golden Wheel Bldg Singapore 340316
陞裕五金私人有限公司Seng Joo Hardware Pte. Ltd.,sales@sengjoo.com.sg, (65) 6294 9835  ,Blk. 26 Jalan Berseh #04-164Singapore 200026
上海同利五金私人有限公司Shanghai Tong Lee Hardware Pte. Ltd.,sales@shanghaitonglee.com.sg, (65) 6298 7211 (5 Lines),200 Jalan Sultan #01-01 Textile CentreSingapore 199018
胜利五金有限公司Shing Lee Hardware (Pte) Ltd.,NaN, (65) 6533 4253 ,45 South Bridge Road Singapore 058678
双马国际私人有限公司Shuang Ma International Pte. Ltd.,shuangma@singnet.com.sg, (65) 6298 6833 ,10 Ubi Crescent #06-40 Ubi Techpark Lobby C Singapore 408564 
新江联五金公司Sin Kang Lian Hardware Co.,NaN, (65) 6261 3122 ,27-A Jurong Port Road #01-51Singapore 619101
新宝裕五金私人有限公司Sin Poh Joo Hardware Pte. Ltd.,NaN, (65) 6748 1673 ,170 Sims Avenue Singapore 387489 
盛兄弟五金私人有限公司Sing Brothers Hardware Pte. Ltd.,singbrothershardwares@yahoo.com.sg, (65) 6741 9906 / 6747 0660 ,Blk. 81 Genting Lane #01-01 Everich Ind. BldgSingapore 349566 
星洲五金制造厂(私人)有限公司Sing Chow Metal Works (Pte) Ltd.,scmwpl@singnet.com.sg, (65) 6280 2141 ,56 Defu Lane 1 Singapore 539497 
南荣行五金私人有限公司Southern Grace Hardware Pte. Ltd.,sghmn@singnet.com.sg, (65) 6250 0533,51 Kim Keat Road #04-01 Mun Hean BldgSingapore 328821 
新明顺五金Sun Meng Soon Hardware,NaN, (65) 6741 1192,Blk. 1057 Eunos Avenue 3 #01-89Singapore 409848
大丸五金企业私人有限公司Taimaru Hardware Enterprise Pte. Ltd.,sales@taimaru.sg, (65) 6261 1350  ,Blk. 399 Yung Sheng Road #01-34Singapore 610399
Taka Hardware & Engineering Pte. Ltd.,info@takahardware.com.sg, (65) 6842 0782,46 Tannery Lane Singapore 347793 - text 
达利机械私人有限公司Tat Lee Engineering Pte. Ltd.,sales@tatlee.com.sg, (65) 6268 5188 (5 Lines) / 6268 5196 /       6268 5186 ,10 Chia Ping Road Singapore 619978
德昌五金私人有限公司Teck Cheong Hardware Pte. Ltd.,sales@teckcheong.com.sg, (65) 6483 4796 ,Blk. 5022 Ang Mo Kio Ind. Park 2 #01-29Singapore 569522 
德源五金私人有限公司Teck Guan Hardware Pte. Ltd.,NaN, (65) 6294 4380 ,Blk. 31 Kelantan Lane #01-18Singapore 200031
登嘉五金机械工程私人有限公司Tengah Engineering & Hardware Pte. Ltd.,tengah@singnet.com.sg, (65) 6748 6188 ,37 Kallang Pudding Road #01-12 & 08-05Tong Lee Blk. B Singapore 349315 
天喜贸易公司Thian Hee Trading,thianhee@hotmail.com, (65) 6785 3270 (3 Lines) ,Blk. 9012 Tampines St. 93 #01-193Tam’ Ind Park A Singapore 528845 
泰成五金企业私营有限公司Thye Seng Hardware Enterprise Pte. Ltd.,enquiry@thyeseng.com, (65) 6747 7415  ,122 Sims Avenue Singapore 387445 
ToolsEdge Pte. Ltd.,enquiry@toolsedge.com, (65) 6846 7392,10 Ubi Crescent #04-34 Ubi Tech Park(Lobby B) Singapore 408564 
Trustech Tools & Machinery,trustechtools@singnet.com.sg, (65) 6294 0950,Blk. 808 French Road #02-23Kitchener Complex Singapore 200808
德丰五金私人有限公司TS Harvest Hardware Pte. Ltd.,tshware@singnet.com.sg, (65) 6846 1369  ,Blk. 1777 Geylang Bahru #01-01Singapore 339705
东源贸易五金私人有限公司Tung Guan Trading & Hardware Pte. Ltd.,customercare@tunguan.com.sg, (65) 6268 1014 (6 Lines),27A Jurong Port Road #01-53Singapore 619101
Unior Singapore Pte. Ltd.,unior@singnet.com.sg, (65) 6451 3818 / 6451 3839 ,9 Tagore Lane #02-10 9@Tagore BuildingSingapore 787472
友利五金(私人)有限公司Unique Hardware Co. Pte. Ltd.,ypteo@unique.com.sg, (65) 6748 4211 (7 Lines) /       6748 7121 (5 Lines) ,No. 7 Woodlands Terrace Singapore 738432 
伟宝贸易私人有限公司Viborg Tarding Pte. Ltd.,NaN, (65) 6368 2252 ,277 Kranji Road Singapore 739512
华雷工业供应私人有限公司Wah Lei Ind. Supply Co. Pte. Ltd.,wahlei@singnet.com.sg, (65) 6265 0033 ,No. 1 Soon Lee Street #01-39/40Pioneer Centre Singapore 627605 
威年五金(新)私人有限公司Warenest Hardware (S) Pte. Ltd.,info@warenest.com.sg, (65) 6562 3339 ,Blk. 2021 #01-188 Bukit Batok Ind. Park ASt. 23 Singapore 659526 
华达贸易商行Wasaw Trading,info@wasaw.com.sg, (65) 6755 1021 ,Blk. 20 Woodlands Link #08-40Singapore 738733 
永福五金(私营)有限公司Weng Hock Hardware (Pte) Ltd.,wenghock@singnet.com.sg, (65) 6295 2811,Blk. 803 King George’s Avenue #01-168Singapore 200803 
永安祥(星)私人有限公司Wing On Cheung & Co. (S) Pte. Ltd.,sales@woc.com.sg, (65) 6745 4033,13 Kaki Bukit Road 1 #03-07 Eunos TechnolinkSingapore 415928
荣宝五金私人有限公司Wing Poh Hardware Pte. Ltd.,sales@wingpoh.com.sg, (65) 6250 0523 (8 Lines) ,159 Sin Ming Road #07-01 Amtech BuildingSingapore 575625
业新五金出品厂私人有限公司Yap Sun Hardware Mfy Pte. Ltd.,yapsun@singnet.com.sg, (65) 6747 4109 / 6747 4901,120 120A & B Sim’s Avenue Singapore 387443
友益(新)私人有限公司Yew Aik (S) Pte. Ltd.,sales@yewaik.com.sg, (65) 6296 3731 ,101 Kitchener Road #01-15 Jalan Besar PlazaSingapore 208511
协兴祥铜铁私人有限公司Yiap Heng Cheong Hardware Pte. Ltd.,NaN, (65) 6255 0077 ,294 Balestier Road (opp. Balestier Point)Singapore 329734 
业丰贸易公司Yip Fung Trading Co.,lawrence@yipfung.com.sg, (65) 6292 9003,Blk. 66 Kallang Bahru #01-511/513Singapore 330066
容发五金出品厂Yong Fatt Hardware Manufactory,NaN, (65) 6853 5983 ,10 Admiralty Street #01-42 North Link BldgSingapore 757695 
容合铜铁私人有限公司Yong Hup Hardware (Pte) Ltd.,sales@yonghuphardware.com.sg, (65) 6296 1307 ,115 King George’s Avenue #01-01Singapore 208561 
远东行Yuen Tong Hong,NaN, (65) 6291 2420 ,Blk. 634 Veerasamy Road #01-146Singapore 200634 
许锡钊Hui King Kit,NaN,NaN,Blk. 31 Holland Close #09-233Singapore 270031
关汉雄Kwan Han Hoong,NaN,NaN,169 Jalan Jurong Kechil #03-12 Sherwood CondoSingapore 598669
李福如Lee Fook Yee,NaN,NaN,Blk. 807 King George’s Avenue #12-248Singapore 200807
李应新Lee Yin San,NaN,NaN,Blk. 104 Jalan Rajah #07-58Singapore 321104
伦知立Loon Chee Lap,NaN,NaN,Blk. 786 Chao Chu Kang Drive #03-227Choa Chu Kang Town Singapore 680786
伦天全Lun Tin Chuen,NaN,NaN,2D Hong San Walk #10-07Singapore 689050 - text 
伦与常Lun Yue Sheong,NaN,NaN,57-L Crescent RoadSingapore 439346
吴家荣Ng Kah Weng,NaN,NaN,Blk. 634 Veerasamy Road #01-146Singapore 200634 
欧阳素兰Ow Yeong Soo Lan,NaN,NaN,Blk. 640 Rowell Road #01-74Singapore 200640
郭金火Quek Kim Herr,NaN,NaN,Blk. 72 Marine Drive #12-65Singapore 440072
冼子明Sin Chee Meng,NaN,NaN,Blk. 1057 Eunos Avenue 3 #01-89Singapore 409848
冼荣贵Sin Wing Kuai,NaN,NaN,Blk. 216 Serangoon Ave 4 #10-80Singapore 550216
陈德维Tan Tek Wee,NaN,NaN,Blk. 206 Tampines St. 21 #07-1453 Singapore 520206
黄福财Wong Fook Chey,NaN,NaN,76 Lorong Ah Soo Singapore 536721
黄宏伧Wong Hong Chung,NaN,NaN,Blk. 74 Geylang Bahru #01-2870Singapore 339682
黄国豪Wong Kok Hoo,NaN,NaN,Blk. 531 Upper Cross St. #02-36 Hong Lim ComplexSingapore 050531
